,mean_test_neg_root_mean_squared_error,mean_test_neg_mean_absolute_error,std_test_neg_root_mean_squared_error,std_test_neg_mean_absolute_error,param_model__max_depth,param_model__splitter
0,-0.23050433909402215,-0.1933584754821683,0.0013798254429932242,0.0016577414025112456,1,random
1,-0.22330389017688632,-0.18580450629732553,0.0016000518670154608,0.001709831081803769,1,best
2,-0.22594650036533967,-0.18862017485525356,0.002247916984396442,0.002543972901302148,2,random
3,-0.220480834158026,-0.18287492308078818,0.001536275690164678,0.001651341102819138,2,best
4,-0.2233571345852793,-0.18588891063859309,0.0014890114407566076,0.0014326740554126884,3,random
5,-0.21840543288856323,-0.180810835380952,0.0016853894504252312,0.0015689345503068456,3,best
6,-0.22112205832644025,-0.18363229780416412,0.0011223067913101563,0.0011664994799131692,4,random
7,-0.21650595043053616,-0.17870665318289009,0.0014697934637364395,0.0013436657945681196,4,best
8,-0.22047019164128406,-0.18289249390467915,0.0017058668252925215,0.0014632200357445647,5,random
9,-0.21549707989832526,-0.1775610475597092,0.0014236603241419756,0.0012469076714485704,5,best
10,-0.22024063293154378,-0.1826634535617118,0.0018950978874354351,0.0018692062556805596,6,random
11,-0.214556899555431,-0.1762304053301344,0.0014935762760414626,0.0012899505136697682,6,best
12,-0.2186711282721731,-0.1808674106724472,0.0017134767053751465,0.002056430921116169,7,random
13,-0.2139327774310582,-0.17536909393951888,0.0015770817969476942,0.0013773833980680137,7,best
14,-0.21712439843818676,-0.17931289477832418,0.0013352534950889562,0.0013009033786889742,8,random
15,-0.21393837786000153,-0.17493674569734424,0.0015532632896093084,0.001322835901074623,8,best
16,-0.21597451763792125,-0.17794935223848554,0.0015636706327799466,0.0013908857106738255,9,random
17,-0.2140022394497647,-0.17457529238762032,0.0013702008716775622,0.0011268395835915767,9,best
18,-0.21612529195884914,-0.17779627659777625,0.0022254231552078447,0.0019614038174741895,10,random
19,-0.2145023645016738,-0.17413665592574215,0.0017601220566132066,0.001492588843297366,10,best
20,-0.21529869710519414,-0.17677830216414275,0.0007402548176045637,0.0006550537793547329,11,random
21,-0.21455320122384083,-0.1736637411888434,0.0014153893710457707,0.0013068354550194907,11,best
22,-0.21528936735070464,-0.17650462950382584,0.0008923465970487558,0.0008710174338579224,12,random
23,-0.2149270374625357,-0.1734949686686295,0.0013585937406607512,0.0009918038032747701,12,best
24,-0.21450924029836504,-0.17554965815512372,0.001605418280884484,0.0015242469970418592,13,random
25,-0.2157626308888112,-0.1735176218769444,0.001231755159041553,0.0011360709479353369,13,best
26,-0.21435409369460304,-0.1750798459959051,0.00134107615367587,0.0011015638628567716,14,random
27,-0.21640139954052312,-0.1733656442395864,0.0013406792089154433,0.0011059963359525318,14,best
28,-0.21404346241618394,-0.17414180109253058,0.001298938321437658,0.0008237768424758134,15,random
29,-0.21668163329417373,-0.17309119261483683,0.0011408515287955733,0.0008225954324747241,15,best
30,-0.21457056575276998,-0.1744019675717749,0.001343956720646349,0.0012783731010477817,16,random
31,-0.21796418722542454,-0.1734294183255249,0.000607453764157096,0.0006466069836317895,16,best
32,-0.21395254604673872,-0.17372555756495828,0.0009716554463265383,0.001028882402481002,17,random
33,-0.21829674058399742,-0.17323286541231167,0.0010223268593651954,0.0008177445208758747,17,best
34,-0.21387192728466667,-0.17299595244803503,0.0015502552866350997,0.001177048722807046,18,random
35,-0.2189422639453975,-0.17312529274339308,0.001569551630475545,0.001060665817885281,18,best
36,-0.2144068705367809,-0.17314138753435046,0.0010434159268110082,0.0008942285590695356,19,random
37,-0.2197269154807165,-0.17328113603732448,0.0017288297664315659,0.0012033679765195843,19,best
38,-0.2142268143500929,-0.17191697888295165,0.0019136601048606462,0.0014708451996855918,20,random
39,-0.22048150392176713,-0.1734822274885812,0.0018302656096874776,0.0011963564360745068,20,best
40,-0.2153066573625743,-0.17322014052253953,0.001088444419848162,0.0012476786543538397,21,random
41,-0.22156579840002255,-0.17370225926621977,0.0019254950311942069,0.0014655123637135163,21,best
42,-0.2138696322559665,-0.171568586771835,0.0009833754022558333,0.0010784277043511383,22,random
43,-0.2222640718194271,-0.17392519765397446,0.0018460709193492937,0.0013776002139291284,22,best
44,-0.21494863502740932,-0.17174839491916286,0.0023354438044250955,0.0016123918915972363,23,random
45,-0.22234264080412536,-0.17359284449198764,0.0018849082978954026,0.001414585100389153,23,best
46,-0.2146181396758234,-0.17176228471381322,0.0016441210289344138,0.0013472234846200752,24,random
47,-0.222800790768304,-0.173703946836841,0.0020739995112181563,0.0015612572815171463,24,best
48,-0.21517784558113678,-0.1715577861478163,0.0008099783614019048,0.0009320508660457836,25,random
49,-0.22318698380752228,-0.17338674832334763,0.0015942986635729959,0.001029539721355753,25,best
50,-0.21515530193488153,-0.17110471811073702,0.0011769399625897513,0.0009992123302304094,26,random
51,-0.22398524123862149,-0.17363987945331,0.0012857650366922544,0.0012696159395542718,26,best
52,-0.21571393909178255,-0.17141261562202598,0.0009677262944359775,0.0008267073887694363,27,random
53,-0.2240821561150419,-0.17334762711910442,0.0012195981256985077,0.0011358561554413575,27,best
54,-0.2156741692113086,-0.17080819023094465,0.0010219211786888288,0.0006939134227905712,28,random
55,-0.2244951866795324,-0.17334578766769737,0.0015129648530163434,0.0010615920410306753,28,best
56,-0.2160432653940257,-0.1710058885681624,0.0026926408543119624,0.0021621190960029527,29,random
57,-0.2249500684275496,-0.17327473017503028,0.0014659790301969691,0.001111573168550723,29,best
