,mean_test_neg_root_mean_squared_error,mean_test_neg_mean_absolute_error,std_test_neg_root_mean_squared_error,std_test_neg_mean_absolute_error,param_model__alpha,param_model__fit_intercept
0,-0.26027691647794315,-0.21667032952548532,0.0016276625916927122,0.0016066743903126568,1,False
1,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,1,True
2,-0.26127697940926115,-0.21726776948260387,0.0017371153495378017,0.0016426473580560866,3,False
3,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,3,True
4,-0.2632668648183317,-0.21862108771375843,0.001877756143415958,0.0016990747705598473,5,False
5,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,5,True
6,-0.2662244330764937,-0.22069514000084084,0.002036023380652722,0.001761366477922137,7,False
7,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,7,True
8,-0.27011795801517857,-0.22344147150214405,0.002201029934518469,0.001810881595531209,9,False
9,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,9,True
10,-0.2749077311616193,-0.22686689021840958,0.0023647997473334246,0.0018569715734785797,11,False
11,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,11,True
12,-0.28054790297854293,-0.23100207366670505,0.002521856079201087,0.0019616192686302413,13,False
13,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,13,True
14,-0.28698838306486835,-0.2358473068914913,0.002668677814719471,0.002085895626345868,15,False
15,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,15,True
16,-0.2941766470024373,-0.24133873241025738,0.0028032095623399863,0.002160853712776318,17,False
17,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,17,True
18,-0.302059339265652,-0.2475167034101975,0.0029244650932458557,0.0022639188857794795,19,False
19,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,19,True
20,-0.3105836078010194,-0.25443815476787746,0.0030322179142633914,0.00236636270222676,21,False
21,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,21,True
22,-0.31969814749716763,-0.26203388017020324,0.0031267637911657014,0.0024379601372923,23,False
23,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,23,True
24,-0.3293539616720425,-0.27025330507271933,0.0032087410090274873,0.002515477946775377,25,False
25,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,25,True
26,-0.3395048714381555,-0.27913353223663295,0.003278996638583589,0.0026510079353062616,27,False
27,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,27,True
28,-0.3501078134498734,-0.28861281014879947,0.0033384891884338627,0.002840332145219096,29,False
29,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,29,True
30,-0.3611229694355991,-0.2987068046008209,0.0033882196656473554,0.0030062333163907453,31,False
31,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,31,True
32,-0.37251376868068636,-0.30941768851001694,0.003429184426413679,0.003158601168771956,33,False
33,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,33,True
34,-0.38424679952878105,-0.3207305902368282,0.0034623443927828575,0.003283519928321876,35,False
35,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,35,True
36,-0.39629165970984614,-0.3326027826645256,0.003488606278228074,0.0033895584385314572,37,False
37,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,37,True
38,-0.40862076899697436,-0.34502086197815396,0.0035088124016881745,0.003476801046867619,39,False
39,-0.23257048782825832,-0.19542534641781145,0.001599907288903879,0.0014189760308670552,39,True
