,columns,RMSE across 5 folds,MAE across 5 folds
0,"('track_name', 'danceability', 'tempo', 'key')",-0.2346,-0.1786
1,"('track_name', 'danceability', 'tempo', 'mode')",-0.2349,-0.1788
2,"('track_name', 'danceability', 'key', 'mode')",-0.244,-0.1833
3,"('track_name', 'tempo', 'key', 'mode')",-0.2726,-0.2059
4,"('danceability', 'tempo', 'key', 'mode')",-0.2201,-0.1819
