,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_estimators,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,0.45769433975219725,0.01084967093329437,0.059760665893554686,0.002782028398442754,1,10,"{'model__max_depth': 1, 'model__n_estimators': 10}",-0.22126742059191298,-0.22560937996711894,-0.22141312876773372,-0.22227902628678478,-0.22164568385658323,-0.2224429278940267,0.0016205668255966632,87,-0.22195557910955382,-0.22148311998428227,-0.22192011083395713,-0.22215812671270044,-0.22243188104332626,-0.22198976353676397,0.0003119364717257429,-0.18398027863235167,-0.18828181298608668,-0.18419285884727987,-0.18491867864090744,-0.18386462466076314,-0.1850476507534778,0.0016580676908110232,87,-0.18480493487420296,-0.18409697621210241,-0.18460102725032695,-0.18461765271894628,-0.18496619866189634,-0.184617357943495,0.0002925538844546915
1,0.6379192352294922,0.007321474943766792,0.06479206085205078,0.002840435628163584,1,20,"{'model__max_depth': 1, 'model__n_estimators': 20}",-0.2210927375914202,-0.22526896052532996,-0.2213902862407757,-0.22195141932351015,-0.22161214429404424,-0.22226310959501605,0.0015288974915407575,86,-0.2218907222630131,-0.22126626383002918,-0.22183978647868782,-0.22190796014028516,-0.22237670819107064,-0.22185628818061714,0.0003530138028973138,-0.18378643392204183,-0.18801988200844028,-0.1841971836580896,-0.18470787835082697,-0.1838466282512903,-0.18491160123813777,0.0015882993289965102,85,-0.18472688259979372,-0.1839453674225696,-0.18454018903038055,-0.18448730787046752,-0.18494766807729207,-0.1845294830001007,0.000333745330844628
2,1.1687896728515625,0.2141897217466578,0.09105081558227539,0.02830251994321222,1,30,"{'model__max_depth': 1, 'model__n_estimators': 30}",-0.22105894848127478,-0.22521733508694403,-0.22140951139622603,-0.22194424090211662,-0.22159167102869415,-0.22224434137905114,0.0015137257275995913,85,-0.2218397459605213,-0.221207690921923,-0.22185902052387524,-0.22187165017652527,-0.2224098862068768,-0.22183759875794432,0.0003810301320705724,-0.18380903851806632,-0.18802240020160316,-0.1842089106783742,-0.18468609650233808,-0.1838404578016399,-0.18491338074040434,0.0015864850191444286,86,-0.18469813086702838,-0.1839206031372756,-0.18455741506939805,-0.18445614729145646,-0.1849738343284039,-0.18452122613871247,0.00034711448866206907
3,0.6228774070739747,0.009296220596886635,0.0603065013885498,0.005962918112989849,2,10,"{'model__max_depth': 2, 'model__n_estimators': 10}",-0.21433928863987037,-0.2198170255172335,-0.21579061950994885,-0.2160848112714813,-0.2176115890111325,-0.2167286667899333,0.0018612426950456603,84,-0.21647328666189425,-0.215815875452445,-0.21605718464555604,-0.21643861830875716,-0.21613754897410942,-0.21618450280855236,0.0002458745640621202,-0.1779189128254224,-0.1826148631729611,-0.178310703816081,-0.17966696770540472,-0.1800469702799122,-0.1797116835599563,0.0016564805888958617,84,-0.17950790716067638,-0.17879448646149312,-0.17926278460283093,-0.17924224164969974,-0.1790982026455744,-0.17918112450405493,0.00023390407968324855
4,1.0120265483856201,0.005620992658868508,0.06155681610107422,0.000427798436750179,2,20,"{'model__max_depth': 2, 'model__n_estimators': 20}",-0.21415357591260872,-0.21946144438269657,-0.21577438493172416,-0.2157626966944215,-0.21755553611665515,-0.21654152760762124,0.0018139198440951438,83,-0.21640338161492373,-0.21557580608856078,-0.21593487718709486,-0.21613600210759001,-0.21605318913949398,-0.21602065122753267,0.0002705887929524293,-0.17773061400807455,-0.18232637219120454,-0.1783013018314633,-0.17940695305538823,-0.18000409106254062,-0.17955386642973425,0.0016002650669725256,83,-0.17945116410243145,-0.17860831107954775,-0.17916615320253623,-0.17903066336876805,-0.17902234272978065,-0.17905572689661284,0.0002722087982298309
5,1.554265594482422,0.24619326510983794,0.08450961112976074,0.02814849088835884,2,30,"{'model__max_depth': 2, 'model__n_estimators': 30}",-0.21410663434352903,-0.21939869812411586,-0.21578560812246791,-0.21573343485122884,-0.21752885223513543,-0.21651064553529542,0.0018048045959026392,82,-0.2163384536371688,-0.21551160449286022,-0.21593785494893097,-0.21609384095989534,-0.2161069930071754,-0.21599774940920616,0.0002746529980988349,-0.17774574310626406,-0.18231316140328727,-0.17829928540914863,-0.17937927392966446,-0.18000608515733757,-0.1795487098011404,0.0015932258851618602,82,-0.1794120534561718,-0.17857550484813722,-0.17917479586359586,-0.17901181768959373,-0.17908562671084238,-0.17905195971366822,0.00027368241112755846
6,1.0316543102264404,0.23038001764153435,0.07045211791992187,0.024624586237895065,3,10,"{'model__max_depth': 3, 'model__n_estimators': 10}",-0.20992278188107555,-0.21469185048496767,-0.2116111154046232,-0.21119375465351198,-0.21372729718045516,-0.2122293599209267,0.0017368179304253204,81,-0.21168766635598824,-0.210877566679095,-0.21135126961184675,-0.21173099281699978,-0.21108577050320762,-0.21134665319342746,0.00033230412895158645,-0.1736339318089433,-0.17784487257889084,-0.17423498718984326,-0.1748183037122946,-0.17641143931107378,-0.17538870692020914,0.0015371659645701111,81,-0.17497432717847827,-0.1741528800687776,-0.17470376326902284,-0.1748357448854441,-0.17436663916271203,-0.17460667091288695,0.000303517482673139
7,1.4746567249298095,0.01144685630249945,0.0631554126739502,0.0012662996152167235,3,20,"{'model__max_depth': 3, 'model__n_estimators': 20}",-0.2097634944570818,-0.21454058757008518,-0.21168153853818758,-0.2110696130498256,-0.21368340744084272,-0.2121477282112046,0.0017405931353676944,79,-0.21164461233210796,-0.2107798954770528,-0.21130431729221005,-0.21159282818001945,-0.21112697997558225,-0.2112897266513945,0.000317629210447722,-0.17354064069880829,-0.17765420524455947,-0.1743099774559293,-0.17465996628348024,-0.1763210444700084,-0.17529716683055713,0.0014879453589255686,79,-0.1749440181140234,-0.17404280834012686,-0.17465743325576671,-0.17473322744395395,-0.17433113125285485,-0.17454172368134513,0.00031785811171353465
8,2.4914408683776856,0.3848208750644571,0.081028413772583,0.023632376533009723,3,30,"{'model__max_depth': 3, 'model__n_estimators': 30}",-0.20976936043154262,-0.21453863045508628,-0.2117271743650579,-0.21113097686188123,-0.2136527062509386,-0.21216376967290135,0.0017232160593847275,80,-0.21164815974594217,-0.21074874005647035,-0.2113263967589356,-0.21161823961642326,-0.21119367563296756,-0.21130704236214778,0.000328064893909759,-0.17356857952077492,-0.17767024525655764,-0.17436336429308505,-0.1746648972957568,-0.1763326259378733,-0.17531994246080954,0.0014805977957144272,80,-0.17495549780574007,-0.1740369175285741,-0.17470072859111324,-0.17478711193748867,-0.17436685862541967,-0.17456942289766714,0.00032810906428728165
9,1.149129867553711,0.018726985513310673,0.05978527069091797,0.0019191538769941798,4,10,"{'model__max_depth': 4, 'model__n_estimators': 10}",-0.20742099899593755,-0.21104245473869312,-0.20858643576901262,-0.20864833360332438,-0.21087185007882125,-0.2093140146371578,0.0014121166321504526,78,-0.20810578679694258,-0.2076509275943596,-0.20767607687599604,-0.20806588378346288,-0.2076862006680418,-0.2078369751437606,0.0002039086834604212,-0.17119110264690696,-0.17496973365120283,-0.17132927943022208,-0.17257805922460423,-0.1736449483218471,-0.17274262465495663,0.0014287091745768927,78,-0.17172914777422316,-0.17133516507419105,-0.17149313110883,-0.17166395741307153,-0.1713623570018853,-0.1715167516744402,0.00015757599570501423
