,mean_test_neg_root_mean_squared_error,mean_test_neg_mean_absolute_error,std_test_neg_root_mean_squared_error,std_test_neg_mean_absolute_error,param_model__activation,param_model__hidden_layer_sizes,param_model__solver,param_model__learning_rate,param_model__alpha
0,-0.23295800743481493,-0.19548954044489925,0.001446455245351848,0.001365219090343846,tanh,"(50, 100)",sgd,constant,0.01
1,-0.22223070935571182,-0.1736169908208936,0.0021064795665543695,0.0022423719192697063,tanh,"(50, 100)",adam,constant,0.01
2,-0.23255499311857758,-0.1952462917172456,0.0016117747301447054,0.0014711327762716158,tanh,"(50, 100)",sgd,invscaling,0.01
3,-0.22223070935571182,-0.1736169908208936,0.0021064795665543695,0.0022423719192697063,tanh,"(50, 100)",adam,invscaling,0.01
4,-0.2323473950955881,-0.19505864927856348,0.0016767645512456876,0.0015312272221540064,tanh,"(50, 100)",sgd,adaptive,0.01
5,-0.22223070935571182,-0.1736169908208936,0.0021064795665543695,0.0022423719192697063,tanh,"(50, 100)",adam,adaptive,0.01
6,-0.23253862160274105,-0.1951692066172312,0.0016078031418764408,0.001461355057911569,tanh,"(100, 100)",sgd,constant,0.01
7,-0.2241654353177792,-0.1758500610978424,0.004036075430490849,0.004539306804275849,tanh,"(100, 100)",adam,constant,0.01
8,-0.23231080093889483,-0.1950851618699451,0.0016719795359155362,0.0015034663251701846,tanh,"(100, 100)",sgd,invscaling,0.01
9,-0.2241654353177792,-0.1758500610978424,0.004036075430490849,0.004539306804275849,tanh,"(100, 100)",adam,invscaling,0.01
10,-0.23211864697006526,-0.19484806693853768,0.0016713187499171915,0.0015424519283607735,tanh,"(100, 100)",sgd,adaptive,0.01
11,-0.2241654353177792,-0.1758500610978424,0.004036075430490849,0.004539306804275849,tanh,"(100, 100)",adam,adaptive,0.01
12,-0.23294901460809792,-0.19548395150221465,0.0014455548279052079,0.001365340313119047,tanh,"(50, 100)",sgd,constant,0.1
13,-0.21565472191706983,-0.17210071659684684,0.005582341024230502,0.0040924744686221025,tanh,"(50, 100)",adam,constant,0.1
14,-0.23255500420285,-0.19524613637156746,0.0016117249908335581,0.001471164451626141,tanh,"(50, 100)",sgd,invscaling,0.1
15,-0.21565472191706983,-0.17210071659684684,0.005582341024230502,0.0040924744686221025,tanh,"(50, 100)",adam,invscaling,0.1
16,-0.23235055233785631,-0.19506168904490886,0.0016754000399497797,0.0015301338454111566,tanh,"(50, 100)",sgd,adaptive,0.1
17,-0.21565472191706983,-0.17210071659684684,0.005582341024230502,0.0040924744686221025,tanh,"(50, 100)",adam,adaptive,0.1
18,-0.2326830641186141,-0.19520820622851764,0.0016543439510393746,0.0015155206473867705,tanh,"(100, 100)",sgd,constant,0.1
19,-0.2154569383706464,-0.17181612500155263,0.007503465059731927,0.005974204762360861,tanh,"(100, 100)",adam,constant,0.1
20,-0.23231100733934978,-0.1950853814589996,0.0016718001948790714,0.0015032922625278823,tanh,"(100, 100)",sgd,invscaling,0.1
21,-0.2154569383706464,-0.17181612500155263,0.007503465059731927,0.005974204762360861,tanh,"(100, 100)",adam,invscaling,0.1
22,-0.23205620085465983,-0.1947923069640352,0.0016515590641991722,0.001529981665965227,tanh,"(100, 100)",sgd,adaptive,0.1
23,-0.2154569383706464,-0.17181612500155263,0.007503465059731927,0.005974204762360861,tanh,"(100, 100)",adam,adaptive,0.1
24,-0.23254750747705694,-0.19539278217897876,0.0016202789052766804,0.0014658683028280345,logistic,"(50, 100)",sgd,constant,0.01
25,-0.2093234243617828,-0.17035562397749163,0.00093444530892532,0.0019351571244479414,logistic,"(50, 100)",adam,constant,0.01
26,-0.2328841069319556,-0.1957846519837706,0.0014909472319690525,0.0013127373443153705,logistic,"(50, 100)",sgd,invscaling,0.01
27,-0.2093234243617828,-0.17035562397749163,0.00093444530892532,0.0019351571244479414,logistic,"(50, 100)",adam,invscaling,0.01
28,-0.23251410223116578,-0.19533676065244063,0.001574958912051192,0.001420609353568303,logistic,"(50, 100)",sgd,adaptive,0.01
29,-0.2093234243617828,-0.17035562397749163,0.00093444530892532,0.0019351571244479414,logistic,"(50, 100)",adam,adaptive,0.01
30,-0.2324771273064164,-0.19525114746330707,0.0015586423928400086,0.0014206167236918614,logistic,"(100, 100)",sgd,constant,0.01
31,-0.21075633797036067,-0.1730266645879214,0.003734013489574446,0.00377062417960429,logistic,"(100, 100)",adam,constant,0.01
32,-0.23300271351886653,-0.19590180966899481,0.001556227651898578,0.0013824466763562237,logistic,"(100, 100)",sgd,invscaling,0.01
33,-0.21075633797036067,-0.1730266645879214,0.003734013489574446,0.00377062417960429,logistic,"(100, 100)",adam,invscaling,0.01
34,-0.23243884288603756,-0.19520889872449596,0.0015749348280246816,0.0014386734204988427,logistic,"(100, 100)",sgd,adaptive,0.01
35,-0.21075633797036067,-0.1730266645879214,0.003734013489574446,0.00377062417960429,logistic,"(100, 100)",adam,adaptive,0.01
36,-0.23254940664951057,-0.1953955000174738,0.0016203389690191126,0.0014655193885914214,logistic,"(50, 100)",sgd,constant,0.1
37,-0.23303560997067424,-0.19555579972872336,0.0013228068931381023,0.0012511948876749465,logistic,"(50, 100)",adam,constant,0.1
38,-0.23288404251815398,-0.19578467860768112,0.001491008568448581,0.0013127639128122722,logistic,"(50, 100)",sgd,invscaling,0.1
39,-0.23303560997067424,-0.19555579972872336,0.0013228068931381023,0.0012511948876749465,logistic,"(50, 100)",adam,invscaling,0.1
40,-0.23251612686816053,-0.19533983699315455,0.0015750629908567533,0.0014201453866413952,logistic,"(50, 100)",sgd,adaptive,0.1
41,-0.23303560997067424,-0.19555579972872336,0.0013228068931381023,0.0012511948876749465,logistic,"(50, 100)",adam,adaptive,0.1
42,-0.23247894794590648,-0.19525444261629543,0.0015589255183148186,0.0014202838766247123,logistic,"(100, 100)",sgd,constant,0.1
43,-0.23437431041006174,-0.19648595896021406,0.002370417079601782,0.0021040652991128816,logistic,"(100, 100)",adam,constant,0.1
44,-0.23300290957638517,-0.19590204255099683,0.0015564882637557026,0.0013826509485114968,logistic,"(100, 100)",sgd,invscaling,0.1
45,-0.23437431041006174,-0.19648595896021406,0.002370417079601782,0.0021040652991128816,logistic,"(100, 100)",adam,invscaling,0.1
46,-0.23244087305931255,-0.19521253489467455,0.0015753110857216414,0.001438362898482915,logistic,"(100, 100)",sgd,adaptive,0.1
47,-0.23437431041006174,-0.19648595896021406,0.002370417079601782,0.0021040652991128816,logistic,"(100, 100)",adam,adaptive,0.1
