,mean_test_neg_root_mean_squared_error,mean_test_neg_mean_absolute_error,std_test_neg_root_mean_squared_error,std_test_neg_mean_absolute_error,param_model__max_depth,param_model__criterion
0,-0.22330389017688632,-0.18580450629732553,0.0016000518670154608,0.001709831081803769,1,squared_error
1,-0.220480834158026,-0.18287492308078818,0.001536275690164678,0.001651341102819138,2,squared_error
2,-0.21840543288856323,-0.180810835380952,0.0016853894504252312,0.0015689345503068456,3,squared_error
3,-0.21650595043053616,-0.17870665318289009,0.0014697934637364395,0.0013436657945681196,4,squared_error
4,-0.21549707989832526,-0.1775610475597092,0.0014236603241419756,0.0012469076714485704,5,squared_error
5,-0.214556899555431,-0.1762304053301344,0.0014935762760414626,0.0012899505136697682,6,squared_error
6,-0.2139327774310582,-0.17536909393951888,0.0015770817969476942,0.0013773833980680137,7,squared_error
7,-0.21393837786000153,-0.17493674569734424,0.0015532632896093084,0.001322835901074623,8,squared_error
8,-0.2140022394497647,-0.17457529238762032,0.0013702008716775622,0.0011268395835915767,9,squared_error
9,-0.2145023645016738,-0.17413665592574215,0.0017601220566132066,0.001492588843297366,10,squared_error
10,-0.21455320122384083,-0.1736637411888434,0.0014153893710457707,0.0013068354550194907,11,squared_error
11,-0.2149270374625357,-0.1734949686686295,0.0013585937406607512,0.0009918038032747701,12,squared_error
12,-0.2157626308888112,-0.1735176218769444,0.001231755159041553,0.0011360709479353369,13,squared_error
13,-0.21640139954052312,-0.1733656442395864,0.0013406792089154433,0.0011059963359525318,14,squared_error
14,-0.21668163329417373,-0.17309119261483683,0.0011408515287955733,0.0008225954324747241,15,squared_error
15,-0.21796418722542454,-0.1734294183255249,0.000607453764157096,0.0006466069836317895,16,squared_error
16,-0.21829674058399742,-0.17323286541231167,0.0010223268593651954,0.0008177445208758747,17,squared_error
17,-0.2189422639453975,-0.17312529274339308,0.001569551630475545,0.001060665817885281,18,squared_error
18,-0.2197269154807165,-0.17328113603732448,0.0017288297664315659,0.0012033679765195843,19,squared_error
19,-0.22048150392176713,-0.1734822274885812,0.0018302656096874776,0.0011963564360745068,20,squared_error
20,-0.22156579840002255,-0.17370225926621977,0.0019254950311942069,0.0014655123637135163,21,squared_error
21,-0.2222640718194271,-0.17392519765397446,0.0018460709193492937,0.0013776002139291284,22,squared_error
22,-0.22234264080412536,-0.17359284449198764,0.0018849082978954026,0.001414585100389153,23,squared_error
23,-0.222800790768304,-0.173703946836841,0.0020739995112181563,0.0015612572815171463,24,squared_error
24,-0.22318698380752228,-0.17338674832334763,0.0015942986635729959,0.001029539721355753,25,squared_error
25,-0.22398524123862149,-0.17363987945331,0.0012857650366922544,0.0012696159395542718,26,squared_error
26,-0.2240821561150419,-0.17334762711910442,0.0012195981256985077,0.0011358561554413575,27,squared_error
27,-0.2244951866795324,-0.17334578766769737,0.0015129648530163434,0.0010615920410306753,28,squared_error
28,-0.2249500684275496,-0.17327473017503028,0.0014659790301969691,0.001111573168550723,29,squared_error
29,-0.22330389017688632,-0.18580450629732553,0.0016000518670154608,0.001709831081803769,1,friedman_mse
30,-0.220480834158026,-0.18287492308078818,0.001536275690164678,0.001651341102819138,2,friedman_mse
31,-0.21840543288856323,-0.180810835380952,0.0016853894504252312,0.0015689345503068456,3,friedman_mse
32,-0.21650595043053616,-0.17870665318289009,0.0014697934637364395,0.0013436657945681196,4,friedman_mse
33,-0.21549707989832526,-0.1775610475597092,0.0014236603241419756,0.0012469076714485704,5,friedman_mse
34,-0.214556899555431,-0.1762304053301344,0.0014935762760414626,0.0012899505136697682,6,friedman_mse
35,-0.2139488151371191,-0.17537852461358996,0.0015736972403053398,0.0013709952428745424,7,friedman_mse
36,-0.21396411410268557,-0.1749397955609305,0.0015719627722268824,0.0013362266931428593,8,friedman_mse
37,-0.2141008721319789,-0.17462133464686452,0.001307682319681611,0.0010863776864017552,9,friedman_mse
38,-0.21452525888044,-0.1741165624616579,0.0018651739588670822,0.001539433813476103,10,friedman_mse
39,-0.21464644617809953,-0.17372082997010685,0.0015580536021570109,0.0014060419845759696,11,friedman_mse
40,-0.21529042708822424,-0.17363893032384828,0.0011957250378487163,0.0008679483983794496,12,friedman_mse
41,-0.21600256593477057,-0.17364466011009363,0.0013297841013475546,0.0011239082480028967,13,friedman_mse
42,-0.2166730708021012,-0.17353597546391808,0.0014397554596748588,0.0011853313176307671,14,friedman_mse
43,-0.21659619586464784,-0.17310565879302858,0.0013716839141070716,0.0011025304460187688,15,friedman_mse
44,-0.2180658965644656,-0.17349176410698938,0.0008265494675470803,0.0006571143834310907,16,friedman_mse
45,-0.21807946922824714,-0.17319006886769836,0.0013925099244750227,0.000823658345528972,17,friedman_mse
46,-0.21884528744144133,-0.17309433613598832,0.0014265657690851288,0.0009548133574162554,18,friedman_mse
47,-0.21978803888221274,-0.17338577445916525,0.0015390801896314136,0.0010288853894078877,19,friedman_mse
48,-0.22042307282308465,-0.17353663262488714,0.0018506503916903118,0.0013361592350749445,20,friedman_mse
49,-0.2214243226974102,-0.1736926451557126,0.0014143061786078901,0.0012223567209813375,21,friedman_mse
50,-0.22182675031011537,-0.17358101912593313,0.0014593631508306112,0.0010966119355760313,22,friedman_mse
51,-0.22207781934187337,-0.1734752979563416,0.0016278549262792902,0.0013515775095379102,23,friedman_mse
52,-0.22318507897013945,-0.17390406884497683,0.0016524725653869648,0.0015915681895150129,24,friedman_mse
53,-0.22378685233107265,-0.17370615110038487,0.0013366208476851078,0.00110773397902818,25,friedman_mse
54,-0.2237623979031888,-0.17350932015613005,0.0012871077604619562,0.0012284690736841736,26,friedman_mse
55,-0.22426604128800273,-0.17344534392847583,0.001188237913456094,0.0012481779701648886,27,friedman_mse
56,-0.22513059772275343,-0.17378189779663417,0.0009728692869790451,0.001173172437130069,28,friedman_mse
57,-0.2255580240649604,-0.17379799511351152,0.00136785422240388,0.0013349601155690045,29,friedman_mse
