,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_estimators,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
67,67,"28,33098320961","0,144441200446394","0,0654007434844971","0,00696861779161415",23,20,"{'model__max_depth': 23, 'model__n_estimators': 20}","-0,195068664131724","-0,194024371629309","-0,191928192765108","-0,195405270963881","-0,195413144109948",-0.194367928719994,"0,00132135742808089",21,"-0,108904584399357","-0,107825455186419","-0,112366213210211","-0,110090424637772","-0,110698951345217",-0.109977125755795,"0,00155058949328545","-0,156545983180577","-0,156118391885659","-0,15508603916002","-0,158498476788548","-0,157086853634418",-0.156667148929845,"0,00112655557356737",18,"-0,0884162729784898","-0,0878158263848725","-0,0912432320245618","-0,0891489396295858","-0,0897199927040442",-0.0892688527443108,"0,00117934370044916"
68,68,"42,5106540203094","0,444796389579403","0,0762563705444336","0,00679758388406428",23,30,"{'model__max_depth': 23, 'model__n_estimators': 30}","-0,19366602602184","-0,192652651837664","-0,190692956185635","-0,194584654344389","-0,194150546421022",-0.19314936696211,"0,00138636406331888",7,"-0,107575644968509","-0,106443737898735","-0,110198353063481","-0,108529408944593","-0,109410708399694",-0.108431570655002,"0,00132468041282345","-0,155608432448091","-0,155233258443937","-0,15428708493955","-0,157838898863742","-0,155943672914429",-0.155782269521949,"0,00116815964081104",7,"-0,0879917828293417","-0,0872726130026337","-0,0899632873582441","-0,0886033701825584","-0,0891919385034046",-0.0886045983752365,"0,00093174391474034"
69,69,"15,0759503364563","0,435458037221302","0,0490511417388916","0,00132097372338132",24,10,"{'model__max_depth': 24, 'model__n_estimators': 10}","-0,198740276376706","-0,197732965052106","-0,194085453361021","-0,198085384073843","-0,197570621078865",-0.197242939988508,"0,00162904570586774",52,"-0,109502741143142","-0,107898436369852","-0,11212083154382","-0,112115365516758","-0,111788443246053",-0.110685163563925,"0,00170222310328226","-0,159101696285586","-0,158574095146989","-0,156014634938517","-0,160280640736319","-0,158328730877181",-0.158459959596918,"0,00139546167088964",35,"-0,0870959620934061","-0,0856178919082387","-0,0893929835778642","-0,0885427365429411","-0,0886069114688193",-0.0878512971182539,"0,0013404826366964"
70,70,"29,6641370773315","0,254779351623612","0,0653809547424316","0,00696192509856474",24,20,"{'model__max_depth': 24, 'model__n_estimators': 20}","-0,195263520152692","-0,194218496560396","-0,191902628808","-0,194941381716198","-0,195069890885997",-0.194279183624657,"0,00123970467469825",19,"-0,105689392142734","-0,104350674377453","-0,108972569165719","-0,106849052899408","-0,107681365911333",-0.106708610899329,"0,00159311988348106","-0,156526490910641","-0,156107870456815","-0,154780344181819","-0,15813877421233","-0,156993085603857",-0.156509313073092,"0,00109908727088137",15,"-0,0856869851462872","-0,0847771035348385","-0,0882779797443534","-0,0863014344471692","-0,0870950587778801",-0.0864277123301057,"0,0011964926280729"
71,71,"44,8835134029388","0,551017178773255","0,0780880928039551","0,00565152012232956",24,30,"{'model__max_depth': 24, 'model__n_estimators': 30}","-0,193771204750533","-0,192809063195685","-0,190668055003208","-0,194100271292815","-0,193814659437483",-0.193032650735945,"0,0012600093382699",6,"-0,104284527495646","-0,103042340085984","-0,106790066174121","-0,105197588614213","-0,10627621407945",-0.105118147289883,"0,00135252651565007","-0,155567893839516","-0,155188902520881","-0,15411686693758","-0,157490765333596","-0,155777250128454",-0.155628335752006,"0,00109289635412324",6,"-0,0851916479603306","-0,084328213662076","-0,0870087988214226","-0,0857520341973156","-0,0865001046324549",-0.08575615985472,"0,000946602265184643"
72,72,"15,7231211185455","0,35255912460368","0,0607775688171387","0,0165164290029179",25,10,"{'model__max_depth': 25, 'model__n_estimators': 10}","-0,198585147956901","-0,197789931731821","-0,194128416760099","-0,197888920890367","-0,197657512909087",-0.197209986049655,"0,00157383031865483",48,"-0,106593584952567","-0,105046317477999","-0,109277527023751","-0,109415864607745","-0,108984120366665",-0.107863482885745,"0,00174437953977695","-0,158789315307192","-0,158600820776116","-0,156182945357199","-0,15996245158115","-0,158142845159575",-0.158335675636246,"0,00123238972068351",33,"-0,0844449876551541","-0,0829119815680079","-0,0868578758591417","-0,0860821384596153","-0,0860449617143252",-0.0852683890512489,"0,00141579430704353"
73,73,"31,2061227798462","0,141858187245402","0,0629771232604981","0,000760961223948867",25,20,"{'model__max_depth': 25, 'model__n_estimators': 20}","-0,195152896674757","-0,193859384873359","-0,191878374917963","-0,194706899015526","-0,195221847222634",-0.194163880540848,"0,00124165768555606",15,"-0,102812912975887","-0,101309169017686","-0,105877978646671","-0,103899537160659","-0,10470035436656",-0.103719990433492,"0,00156748926693123","-0,156158756018431","-0,155756663372341","-0,154988250151572","-0,157801897963797","-0,156881955740694",-0.156317504649367,"0,000962152808255797",14,"-0,0831395842654207","-0,082030703579838","-0,0855961840360499","-0,0837110906600796","-0,0844266718343143",-0.0837808468751405,"0,00119930180554578"
74,74,"46,7460363388062","0,602183986905703","0,0969725608825684","0,022281414757276",25,30,"{'model__max_depth': 25, 'model__n_estimators': 30}","-0,193709434118725","-0,192491828380013","-0,190585975483097","-0,194011203608391","-0,193679559903821",-0.192895600298809,"0,00126640336740235",4,"-0,101321849320058","-0,0998970156022551","-0,103766061001053","-0,102176012002251","-0,103303470475849",-0.102092881680293,"0,00139199738900489","-0,155237162596439","-0,154917371525728","-0,154194513339234","-0,157252516806428","-0,155392904944483",-0.155398893842463,"0,00101434777995025",5,"-0,0826392082093109","-0,081524497937291","-0,0844133302386981","-0,0831311331708382","-0,0838463334691899",-0.0831109006050656,"0,000997673387983376"
75,75,"16,2982404708862","0,320477643545089","0,0618412971496582","0,0234791275732944",26,10,"{'model__max_depth': 26, 'model__n_estimators': 10}","-0,198269322137174","-0,197539164582349","-0,194245983106984","-0,198330091704707","-0,198018799005999",-0.197280672107443,"0,00154270524597976",54,"-0,103817444313045","-0,102382011816436","-0,106491452837149","-0,106893478650277","-0,106886928555986",-0.105294263234579,"0,00185415954900305","-0,158606784795483","-0,158384331078068","-0,155864303789589","-0,160257671012803","-0,158225883971638",-0.158267794929516,"0,00140475106820264",32,"-0,0819969468336985","-0,0804206902820147","-0,0842536816466603","-0,0837068056962795","-0,0841052067449522",-0.082896666240721,"0,00147636979508801"
76,76,"32,4670822620392","0,147214818867628","0,0718729019165039","0,0145548888223969",26,20,"{'model__max_depth': 26, 'model__n_estimators': 20}","-0,195151120529076","-0,193914116943207","-0,191786985611877","-0,194949942213444","-0,195185493911156",-0.194197531841752,"0,00129171041132958",16,"-0,0999866317644454","-0,0985204222949666","-0,10302885480796","-0,101158983297375","-0,102372225205463",-0.101013423474042,"0,00162473686257112","-0,156135452669471","-0,15559873560777","-0,15468300803955","-0,157850073846641","-0,15657876063251",-0.156169206159189,"0,00105151432213353",12,"-0,0807575856162302","-0,0794630392972359","-0,0830610142547168","-0,0812883901682792","-0,0824045065536356",-0.0813949071780195,"0,00126054288666069"
